"","Longitude","Latitude","PM25","Date"
"352",-85.992647,33.991494000875,14,"07/04/2022"
"719",-86.815,33.5530560008695,15.3,"07/04/2022"
"1034",-87.003611,33.3311110008666,7.8,"07/04/2022"
"1351",-86.549167,33.5452780008694,8.6,"07/04/2022"
"1752",-86.924167,33.4997220008688,10.8,"07/04/2022"
"2113",-86.9425,33.8016670008726,6.5,"07/04/2022"
"2419",-86.796389,33.5652780008696,19.4,"07/04/2022"
"2825",-86.58816,34.68547,10.3,"07/04/2022"
"3190",-88.087761,30.7701810008299,12.8,"07/04/2022"
"3582",-86.263394,32.4128110008542,5.9,"07/04/2022"
"3968",-86.967536,34.5307170008815,8.5,"07/04/2022"
"4322",-84.999653,32.437028,9.6,"07/04/2022"
"4646",-88.277992,32.3626060008535,4.5,"07/04/2022"
"5057",-149.824602,61.2058610007956,2.4,"07/04/2022"
"6005",-134.56723651676,58.3884971242076,30,"07/04/2022"
"6333",-149.031655,61.534163,2.4,"07/04/2022"
"6503",-109.438003185736,35.8804038106536,2.5,"07/04/2022"
"6546",-109.438003185736,35.8804038106536,3.8,"07/04/2022"
"6732",-113.5586,34.2439,0,"07/04/2022"
"7057",-112.14256,33.4837800008686,7,"07/04/2022"
"7381",-111.86536,33.4101800008677,4.8,"07/04/2022"
"7694",-112.06619,33.5603100008696,4.5,"07/04/2022"
"8019",-112.19193,33.5745300008697,3.8,"07/04/2022"
"8348",-112.07526,33.4031400008676,7.5,"07/04/2022"
"8677",-111.93471,33.4112300008677,9,"07/04/2022"
"9000",-112.00264,33.41046,5.8,"07/04/2022"
"9370",-112.11821,33.4265000008679,4.5,"07/04/2022"
"9755",-112.095767,33.503833,8.8,"07/04/2022"
"10080",-111.038389291448,32.3226614191457,5.7,"07/04/2022"
"10456",-110.9823,32.29515,8,"07/04/2022"
"12129",-110.936718,31.337204,5.5,"07/04/2022"
"12446",-114.61444,32.690278,6.2,"07/04/2022"
"12879",-90.1931407655994,35.1972876317392,8.1,"07/04/2022"
"13397",-92.2812958643647,34.7561888042723,12.4,"07/04/2022"
"13730",-92.328697163421,34.6813433627688,15.2,"07/04/2022"
"14139",-94.1168273808054,36.1797000452413,22.1,"07/04/2022"
"14306",-104.93647,39.8281,17.2,"07/04/2022"
"14507",-104.93647,39.8281,3.7,"07/04/2022"
"14704",-105.019526,39.6043990009268,6.1,"07/04/2022"
"14790",-105.100856,40.1645760009301,4.9,"07/04/2022"
"15004",-105.100856,40.1645760009301,3.9,"07/04/2022"
"15208",-105.263382,40.0210970009293,3.1,"07/04/2022"
"15531",-104.987625,39.7511840009277,6,"07/04/2022"
"15658",-104.987625,39.7511840009277,5.9,"07/04/2022"
"15859",-104.987625,39.7511840009277,3.7,"07/04/2022"
"16185",-104.939925,39.7385780009277,5.1,"07/04/2022"
"16387",-105.00518,39.77949,9.7,"07/04/2022"
"16603",-105.00518,39.77949,6.8,"07/04/2022"
"16774",-105.0153,39.73217,14.8,"07/04/2022"
"16971",-105.0153,39.73217,4.3,"07/04/2022"
"17293",-104.9886,39.7861,4,"07/04/2022"
"17497",-105.070358,39.5344880009264,3.3,"07/04/2022"
"17712",-105.070358,39.5344880009264,3.1,"07/04/2022"
"18036",-104.828564,38.8480140009219,2.3,"07/04/2022"
"18181",-106.385,40.5506,5.5,"07/04/2022"
"18389",-107.62863,37.13678,2.9,"07/04/2022"
"18717",-107.870219,37.10258,3.1,"07/04/2022"
