"","Longitude","Latitude","PM25","Date"
"21801",-121.903019,37.7012220009132,7.7,"06/28/2022"
"22118",-121.84047,39.76168,3.5,"06/28/2022"
"22298",-121.84047,39.76168,6.1,"06/28/2022"
"22485",-121.59135,39.77919,3.6,"06/28/2022"
"22793",-121.668811,39.327563,7.5,"06/28/2022"
"23108",-120.680277,38.20185,2.8,"06/28/2022"
"23477",-121.99887,39.18919,4.7,"06/28/2022"
"23790",-122.026154,37.936013,5.8,"06/28/2022"
"24117",-122.356811,37.9604,9.6,"06/28/2022"
"24432",-124.20347,41.7561300009374,2.7,"06/28/2022"
"24482",-119.77321,36.78538,5.4,"06/28/2022"
"24661",-119.77321,36.78538,5.3,"06/28/2022"
"24968",-119.658339349936,36.9851185574381,7.1,"06/28/2022"
"25193",-120.101096,36.198672,9,"06/28/2022"
"25518",-120.382331,36.6342250009037,7.1,"06/28/2022"
"25833",-119.7775,36.710833,8,"06/28/2022"
"26152",-119.716433,36.819449,3.6,"06/28/2022"
"26472",-119.733,36.72639,8.4,"06/28/2022"
"26786",-122.190834,39.53387,1.4,"06/28/2022"
"26984",-124.17949,40.7767800009332,4.4,"06/28/2022"
"27207",-115.48307,32.67618,10.5,"06/28/2022"
"27386",-115.48307,32.67618,12,"06/28/2022"
"27574",-115.53917,32.97833,9,"06/28/2022"
"27899",-116.015997,33.37907778,8.5,"06/28/2022"
"28142",-115.56306,32.79222,10.8,"06/28/2022"
"28459",-118.330783,37.360684,4.6,"06/28/2022"
"28636",-118.330783,37.360684,5,"06/28/2022"
"28694",-117.871036,36.487823,6,"06/28/2022"
"28872",-117.871036,36.487823,6,"06/28/2022"
"29169",-118.049167,36.5955560009034,5.8,"06/28/2022"
"29463",-118.417477920338,37.3621369693511,4.8,"06/28/2022"
"29869",-119.015009,35.385574,9.3,"06/28/2022"
"30632",-118.997627,35.324636,9.5,"06/28/2022"
"30830",-117.715066487047,35.6429431008838,5.4,"06/28/2022"
"31007",-118.162833,35.0465280008873,5.6,"06/28/2022"
"31326",-118.860588,34.841567,2.2,"06/28/2022"
"31652",-119.56565,36.102244,8.3,"06/28/2022"
"31981",-119.643447,36.31567,5.5,"06/28/2022"
"32210",-117.92391,34.1365,16.2,"06/28/2022"
"32393",-117.85036,34.14435,10.7,"06/28/2022"
"32718",-118.22688,34.0665900008759,13.1,"06/28/2022"
"32750",-118.22688,34.0665900008759,13.4,"06/28/2022"
"32929",-118.22688,34.0665900008759,17.4,"06/28/2022"
"33144",-118.53276,34.19925,8.7,"06/28/2022"
"33323",-118.53276,34.19925,11.5,"06/28/2022"
"33651",-118.205,33.9013890008739,11.6,"06/28/2022"
"33832",-118.205,33.9013890008739,13.4,"06/28/2022"
"34036",-118.0685,34.0102900008752,12.3,"06/28/2022"
"34102",-118.1272,34.1326,12,"06/28/2022"
"34157",-118.18921,33.82376,9.8,"06/28/2022"
"34577",-118.200707,33.8596620008734,11.5,"06/28/2022"
"34905",-118.171019,33.7937130008725,10.3,"06/28/2022"
"35230",-118.363036,34.1819770008773,15.2,"06/28/2022"
